
id: 0
num_1: 34197	| 0000000017749383 cfc771d1266ed6b5 e6503424c62eef89 d11f3f7d770f418a ...
 1500:	  0.000889	    19.628
 1506:	  0.000911	    18.709
 1512:	  0.000876	    20.013
 1518:	  0.000918	    19.903
 1524:	  0.000897	    19.972
 1530:	  0.000947	    19.463
 1536:	  0.000936	    20.267
 1542:	  0.000843	    21.757
 1548:	  0.000887	    20.437
 1554:	  0.000941	    26.409
 1560:	  0.001374	    27.044
 1566:	  0.000885	    27.788
 1572:	  0.001366	    27.963
 1578:	  0.000872	    30.746
 1584:	  0.000887	    34.420
 1590:	  0.000901	    35.057
 1596:	  0.000868	    36.901
 1602:	  0.000869	    36.195
 1608:	  0.001349	    43.082
 1614:	  0.001402	    43.237
 1620:	  0.001349	    51.391
 1626:	  0.000923	    59.997
 1632:	  0.000914	    57.476
 1638:	  0.000883	    45.707
 1644:	  0.000880	    86.910
 1650:	  0.000945	    86.817
 1656:	  0.001056	   125.525
 1662:	  0.000876	    71.039
 1668:	  0.001352	   173.765
 1674:	  0.001391	   295.804
 1680:	  0.000932	     6.877
 1686:	  0.001361	     8.088
 1692:	  0.000899	     8.350
 1698:	  0.000938	    12.855
 1704:	  0.000868	    12.646
 1710:	  0.001042	    13.694
 1716:	  0.001375	    13.900
 1722:	  0.000869	    14.251
 1728:	  0.001507	    14.428
 1734:	  0.000864	    13.797
 1740:	  0.001661	    13.708
 1746:	  0.000951	    13.958
 1752:	  0.000990	    13.966
 1758:	  0.000882	    14.631
 1764:	  0.001373	    14.230
 1770:	  0.000935	    14.581
 1776:	  0.000932	    14.735
 1782:	  0.001381	    14.308
 1788:	  0.001487	    13.128
 1794:	  0.000947	    13.976
 1800:	  0.001358	    13.911
 1806:	  0.000962	    14.284
 1812:	  0.000981	    13.847
 1818:	  0.000980	    14.537
 1824:	  0.001438	    15.279
 1830:	  0.000937	    14.446
 1836:	  0.000915	    14.955
 1842:	  0.000915	    14.997
 1848:	  0.000992	    14.415
 1854:	  0.000992	    15.067
 1860:	  0.000995	    15.049
 1866:	  0.001369	    14.414
 1872:	  0.001754	    16.217
 1878:	  0.000970	    14.975
 1884:	  0.000925	    15.438
 1890:	  0.001534	    15.317
 1896:	  0.001373	    15.710
 1902:	  0.000922	    22.843
 1908:	  0.000900	    24.134
 1914:	  0.000969	    24.030
 1920:	  0.000940	    23.920
 1926:	  0.001055	    23.969
 1932:	  0.000906	    23.553
 1938:	  0.000920	    24.748
 1944:	  0.001032	    24.763
 1950:	  0.001438	    24.685
 1956:	  0.000916	    25.457
 1962:	  0.001391	    25.590
 1968:	  0.000933	    31.827
 1974:	  0.000955	    33.532
 1980:	  0.001002	    33.457
 1986:	  0.000978	    33.748
 1992:	  0.000936	    34.688
 1998:	  0.001420	    40.868
 2004:	  0.001055	    36.498
 2010:	  0.000956	    44.091
 2016:	  0.000938	    46.188
 2022:	  0.000962	    45.700
 2028:	  0.000948	    55.102
 2034:	  0.001514	    65.632
 2040:	  0.001183	    64.335
 2046:	  0.000944	    73.225
 2052:	  0.001419	    82.478
 2058:	  0.001503	    96.089
 2064:	  0.000984	    87.197
 2070:	  0.000912	    90.927
 2076:	  0.000905	    90.412
 2082:	  0.000979	   149.105
 2088:	  0.000918	   242.068
 2094:	  0.001376	   401.254
 2100:	  0.000964	     6.990
 2106:	  0.000946	    11.508
 2112:	  0.000924	    13.606
 2118:	  0.000930	    13.081
 2124:	  0.000935	    15.957
 2130:	  0.000996	    15.088
 2136:	  0.001517	    17.092
 2142:	  0.000963	    16.550
 2148:	  0.000954	    16.602
 2154:	  0.000928	    17.478
 2160:	  0.001422	    16.436
 2166:	  0.001406	    16.749
 2172:	  0.000986	    17.910
 2178:	  0.001450	    17.558
 2184:	  0.000986	    17.564
 2190:	  0.000995	    18.012
 2196:	  0.000977	    18.221
 2202:	  0.001056	    17.672
 2208:	  0.001540	    18.253
 2214:	  0.001475	    18.483
 2220:	  0.001597	    17.364
 2226:	  0.000973	    17.406
 2232:	  0.000933	    17.607
 2238:	  0.001446	    17.139
 2244:	  0.001524	    17.863
 2250:	  0.000958	    18.416
 2256:	  0.001461	    17.099
 2262:	  0.000922	    17.509
 2268:	  0.001041	    18.916
 2274:	  0.000935	    18.295
 2280:	  0.001035	    17.623
 2286:	  0.000964	    18.657
 2292:	  0.001054	    18.037
 2298:	  0.001473	    18.760
 2304:	  0.001524	    17.808
 2310:	  0.000946	    19.578
 2316:	  0.001006	    24.678
 2322:	  0.001038	    26.425
 2328:	  0.000966	    29.120
 2334:	  0.001018	    29.294
 2340:	  0.001464	    29.671
 2346:	  0.001014	    30.704
 2352:	  0.001003	    29.193
 2358:	  0.000963	    29.061
 2364:	  0.000977	    30.278
 2370:	  0.001070	    30.762
 2376:	  0.001168	    30.299
 2382:	  0.001051	    31.993
 2388:	  0.001567	    41.057
 2394:	  0.000962	    41.330
 2400:	  0.001461	    30.178
 2406:	  0.001486	    41.223
 2412:	  0.001012	    43.995
 2418:	  0.001457	    49.538
 2424:	  0.001505	    52.335
 2430:	  0.001035	    53.929
 2436:	  0.000945	    53.942
 2442:	  0.001739	    65.714
 2448:	  0.001672	    56.325
 2454:	  0.001478	    66.403
 2460:	  0.001069	    75.390
 2466:	  0.000963	    89.305
 2472:	  0.000954	    78.787
 2478:	  0.001473	   119.415
 2484:	  0.000958	   135.547
 2490:	  0.001080	   173.474
 2496:	  0.000966	   179.464
 2502:	  0.001509	   223.761
 2508:	  0.001020	   328.701
 2514:	  0.000968	   553.229
 2520:	  0.001670	     9.595
 2526:	  0.001054	    14.144
 2532:	  0.000991	    13.678
 2538:	  0.000957	    18.024
 2544:	  0.001131	    19.722
 2550:	  0.000957	    19.752
 2556:	  0.000991	    19.896
 2562:	  0.000974	    20.422
 2568:	  0.001416	    19.940
 2574:	  0.000999	    22.035
 2580:	  0.001601	    20.824
 2586:	  0.001539	    20.711
 2592:	  0.001522	    21.023
 2598:	  0.001026	    20.761
 2604:	  0.001165	    21.677
 2610:	  0.002344	    21.928
 2616:	  0.001517	    21.103
 2622:	  0.001326	    23.464
 2628:	  0.002812	    22.290
 2634:	  0.001101	    21.815
 2640:	  0.001522	    22.062
 2646:	  0.001065	    21.464
 2652:	  0.001715	    21.584
 2658:	  0.001550	    21.707
 2664:	  0.001295	    22.213
 2670:	  0.001093	    22.140
 2676:	  0.002791	    22.082
 2682:	  0.001051	    22.597
 2688:	  0.000989	    23.812
 2694:	  0.001701	    23.049
 2700:	  0.001065	    22.137
 2706:	  0.001072	    21.869
 2712:	  0.001028	    21.729
 2718:	  0.001199	    22.433
 2724:	  0.001750	    22.288
 2730:	  0.001038	    23.637
 2736:	  0.001000	    32.732
 2742:	  0.001051	    26.375
 2748:	  0.001799	    35.964
 2754:	  0.001903	    35.798
 2760:	  0.001021	    36.909
 2766:	  0.001095	    35.899
 2772:	  0.001939	    36.722
 2778:	  0.001056	    37.175
 2784:	  0.001105	    36.272
 2790:	  0.001120	    36.720
 2796:	  0.001050	    36.912
 2802:	  0.001678	    43.316
 2808:	  0.001087	    50.459
 2814:	  0.001630	    53.686
 2820:	  0.004233	    52.764
 2826:	  0.001129	    51.378
 2832:	  0.002019	    51.359
 2838:	  0.001202	    53.325
 2844:	  0.001057	    54.060
 2850:	  0.001253	    65.478
 2856:	  0.001855	    66.551
 2862:	  0.001051	    78.870
 2868:	  0.001649	    73.239
 2874:	  0.001545	    80.712
 2880:	  0.001040	    90.092
 2886:	  0.001088	    77.989
 2892:	  0.000979	    98.606
 2898:	  0.001051	   130.388
 2904:	  0.001346	   109.780
 2910:	  0.001501	   192.268
 2916:	  0.001142	   251.126
 2922:	  0.001017	   310.207
 2928:	  0.002055	   428.027
 2934:	  0.001626	   650.472
 2940:	  0.000995	    11.195
 2946:	  0.001543	     9.854
 2952:	  0.001022	    19.985
 2958:	  0.000997	    21.545
 2964:	  0.000968	    22.857
 2970:	  0.002006	    23.304
 2976:	  0.001114	    23.019
 2982:	  0.001560	    23.678
 2988:	  0.001580	    22.580
 2994:	  0.001629	    24.147
 3000:	  0.001584	    23.141
 3006:	  0.001241	    23.876
 3012:	  0.001026	    24.382
 3018:	  0.001219	    24.245
 3024:	  0.001138	    24.235
 3030:	  0.001095	    23.846
 3036:	  0.002126	    23.299
 3042:	  0.001576	    24.270
 3048:	  0.001612	    24.405
 3054:	  0.001003	    24.539
 3060:	  0.004346	    24.155
 3066:	  0.001652	    23.493
 3072:	  0.002141	    23.913
 3078:	  0.001144	    24.483
 3084:	  0.001792	    24.036
 3090:	  0.001544	    24.493
 3096:	  0.001008	    24.936
 3102:	  0.001041	    24.311
 3108:	  0.001041	    24.907
 3114:	  0.001105	    25.175
 3120:	  0.001156	    25.013
 3126:	  0.001156	    24.036
 3132:	  0.001107	    25.131
 3138:	  0.004941	    24.880
 3144:	  0.001071	    26.141
 3150:	  0.001180	    26.717
 3156:	  0.001453	    31.344
 3162:	  0.001717	    36.207
 3168:	  0.001096	    38.525
 3174:	  0.000995	    39.573
 3180:	  0.001021	    39.923
 3186:	  0.001065	    39.918
 3192:	  0.001019	    41.331
 3198:	  0.001589	    38.728
 3204:	  0.001560	    40.347
 3210:	  0.001129	    39.728
 3216:	  0.001227	    40.681
 3222:	  0.001150	    47.221
 3228:	  0.001092	    55.054
 3234:	  0.001119	    55.237
 3240:	  0.001156	    57.205
 3246:	  0.001037	    56.176
 3252:	  0.001157	    55.860
 3258:	  0.001618	    58.207
 3264:	  0.001160	    70.763
 3270:	  0.001137	    58.502
 3276:	  0.001089	    73.845
 3282:	  0.001077	    86.829
 3288:	  0.001556	    86.145
 3294:	  0.001092	   103.576
 3300:	  0.001131	   103.899
 3306:	  0.001071	   102.996
 3312:	  0.001704	   133.485
 3318:	  0.001034	   100.012
 3324:	  0.001044	   166.388
 3330:	  0.001450	   194.694
 3336:	  0.001620	   202.427
 3342:	  0.001009	   397.352
 3348:	  0.001682	   526.675
 3354:	  0.001117	   788.923
 3360:	  0.002598	    10.758
 3366:	  0.001676	    19.398
 3372:	  0.001268	    22.237
 3378:	  0.001670	    11.683
 3384:	  0.001077	    24.735
 3390:	  0.001802	    25.444
 3396:	  0.001167	    25.443
 3402:	  0.001178	    26.603
 3408:	  0.001660	    25.685
 3414:	  0.001671	    26.156
 3420:	  0.001315	    26.452
 3426:	  0.001035	    25.704
 3432:	  0.001081	    26.148
 3438:	  0.001106	    27.332
 3444:	  0.001692	    26.823
 3450:	  0.001099	    26.204
 3456:	  0.001120	    26.164
 3462:	  0.001991	    27.153
 3468:	  0.001239	    26.991
 3474:	  0.001057	    27.454
 3480:	  0.002113	    27.277
 3486:	  0.001135	    27.093
 3492:	  0.001509	    27.159
 3498:	  0.001586	    27.079
 3504:	  0.001086	    27.349
 3510:	  0.001662	    27.187
 3516:	  0.001127	    27.063
 3522:	  0.001556	    27.685
 3528:	  0.001128	    27.253
 3534:	  0.001135	    26.733
 3540:	  0.001721	    27.539
 3546:	  0.001716	    27.724
 3552:	  0.001617	    27.691
 3558:	  0.001091	    27.403
 3564:	  0.001142	    27.444
 3570:	  0.001600	    31.229
 3576:	  0.001137	    33.214
 3582:	  0.001774	    36.794
 3588:	  0.001146	    37.492
 3594:	  0.001151	    44.410
 3600:	  0.001147	    45.532
 3606:	  0.001706	    44.174
 3612:	  0.001043	    44.934
 3618:	  0.001063	    44.542
 3624:	  0.001128	    45.618
 3630:	  0.001088	    44.803
 3636:	  0.001264	    44.406
 3642:	  0.001784	    60.416
 3648:	  0.002240	    65.771
 3654:	  0.001646	    66.607
 3660:	  0.001225	    67.126
 3666:	  0.001136	    68.133
 3672:	  0.001175	    67.247
 3678:	  0.001278	    77.130
 3684:	  0.001201	    79.261
 3690:	  0.001690	    80.195
 3696:	  0.001123	    82.009
 3702:	  0.002071	    95.465
 3708:	  0.001836	    96.393
 3714:	  0.001687	   115.062
 3720:	  0.003490	   128.065
 3726:	  0.001054	   139.438
 3732:	  0.001628	   149.270
 3738:	  0.001625	   165.998
 3744:	  0.001582	   213.170
 3750:	  0.001075	   154.227
 3756:	  0.001759	   304.550
 3762:	  0.001115	   211.326
 3768:	  0.001084	   631.064
 3774:	  0.001693	   950.580
 3780:	  0.001114	    12.733
 3786:	  0.002175	    16.877
 3792:	  0.001139	    24.276
 3798:	  0.001118	    25.361
 3804:	  0.001163	    28.916
 3810:	  0.001726	    19.470
 3816:	  0.001410	    30.205
 3822:	  0.001947	    30.219
 3828:	  0.001104	    29.188
 3834:	  0.001164	    30.164
 3840:	  0.001203	    30.748
 3846:	  0.001699	    30.260
 3852:	  0.001187	    30.113
 3858:	  0.001475	    29.324
 3864:	  0.001157	    29.084
 3870:	  0.001181	    30.244
 3876:	  0.002329	    29.163
 3882:	  0.001149	    29.170
 3888:	  0.001077	    30.589
 3894:	  0.001659	    30.595
 3900:	  0.001106	    31.010
 3906:	  0.001764	    30.130
 3912:	  0.002727	    29.960
 3918:	  0.001134	    29.245
 3924:	  0.001192	    29.569
 3930:	  0.001161	    30.494
 3936:	  0.001112	    31.557
 3942:	  0.001706	    30.769
 3948:	  0.001323	    31.218
 3954:	  0.001242	    30.422
 3960:	  0.001814	    30.938
 3966:	  0.001300	    31.415
 3972:	  0.001733	    29.742
 3978:	  0.001135	    30.358
 3984:	  0.001165	    32.027
 3990:	  0.001750	    32.335
 3996:	  0.001718	    44.848
 4002:	  0.002135	    47.750
 4008:	  0.001787	    47.849
 4014:	  0.001302	    49.533
 4020:	  0.001666	    50.752
 4026:	  0.001678	    49.231
 4032:	  0.001107	    49.689
 4038:	  0.002008	    51.013
 4044:	  0.001187	    49.333
 4050:	  0.001081	    50.493
 4056:	  0.001241	    50.453
 4062:	  0.002651	    60.696
 4068:	  0.001109	    50.278
 4074:	  0.001804	    55.908
 4080:	  0.001218	    67.197
 4086:	  0.001164	    67.927
 4092:	  0.001823	    69.933
 4098:	  0.001717	    68.841
 4104:	  0.001283	    89.473
 4110:	  0.001171	    86.914
 4116:	  0.001215	    99.787
 4122:	  0.002431	    95.484
 4128:	  0.001755	   110.702
 4134:	  0.001088	   125.643
 4140:	  0.001263	   127.952
 4146:	  0.001104	   124.593
 4152:	  0.001131	   174.505
 4158:	  0.001188	   200.753
 4164:	  0.002531	   239.060
 4170:	  0.001222	   278.201
 4176:	  0.001202	   377.825
 4182:	  0.001788	   319.460
 4188:	  0.001083	   201.570
 4194:	  0.001848	  1094.726
 4200:	  0.001213	    19.391
 4206:	  0.001246	    24.530
 4212:	  0.001153	    24.235
 4218:	  0.001505	    25.203
 4224:	  0.001152	    22.444
 4230:	  0.001919	    33.258
 4236:	  0.001973	    31.937
 4242:	  0.001932	    32.872
 4248:	  0.001101	    33.219
 4254:	  0.001272	    32.455
 4260:	  0.001218	    32.514
 4266:	  0.001858	    32.900
 4272:	  0.001165	    31.229
 4278:	  0.001905	    32.657
 4284:	  0.001256	    33.206
 4290:	  0.001874	    32.865
 4296:	  0.001817	    32.644
 4302:	  0.003907	    32.825
 4308:	  0.001126	    32.451
 4314:	  0.001269	    33.525
 4320:	  0.002704	    32.478
 4326:	  0.001175	    31.850
 4332:	  0.001382	    32.473
 4338:	  0.001191	    34.100
 4344:	  0.001825	    33.959
 4350:	  0.002216	    33.292
 4356:	  0.001768	    33.545
 4362:	  0.002045	    33.057
 4368:	  0.001800	    33.176
 4374:	  0.001336	    32.463
 4380:	  0.001329	    32.773
 4386:	  0.001204	    34.202
 4392:	  0.001858	    34.215
 4398:	  0.001224	    33.480
 4404:	  0.002587	    33.176
 4410:	  0.002726	    38.727
 4416:	  0.001273	    45.798
 4422:	  0.001799	    47.603
 4428:	  0.001090	    52.825
 4434:	  0.001158	    51.438
 4440:	  0.001200	    54.766
 4446:	  0.001201	    56.010
 4452:	  0.001127	    53.949
 4458:	  0.001591	    53.310
 4464:	  0.001205	    53.879
 4470:	  0.001792	    53.278
 4476:	  0.001169	    56.538
 4482:	  0.001172	    70.517
 4488:	  0.001769	    62.141
 4494:	  0.001179	    76.325
 4500:	  0.003206	    74.666
 4506:	  0.001862	    75.793
 4512:	  0.001151	    74.135
 4518:	  0.001314	    80.918
 4524:	  0.001123	    95.551
 4530:	  0.001303	    81.704
 4536:	  0.001156	   109.554
 4542:	  0.001121	   117.755
 4548:	  0.001799	   125.566
 4554:	  0.001924	   137.445
 4560:	  0.001892	   134.472
 4566:	  0.002656	    88.260
 4572:	  0.001284	   153.247
 4578:	  0.001228	   126.807
 4584:	  0.001960	   184.905
 4590:	  0.001139	   264.504
 4596:	  0.001948	   301.789
 4602:	  0.001468	   428.519
 4608:	  0.002180	   339.949
 4614:	  0.002438	    15.198
 4620:	  0.001180	    19.169
 4626:	  0.001194	    23.989
 4632:	  0.002790	    30.712
 4638:	  0.001805	    32.605
 4644:	  0.001800	    31.399
 4650:	  0.001177	    33.715
 4656:	  0.001116	    33.759
 4662:	  0.001235	    35.952
 4668:	  0.001698	    35.898
 4674:	  0.001741	    36.222
 4680:	  0.002276	    35.440
 4686:	  0.001176	    36.043
 4692:	  0.001225	    35.948
 4698:	  0.001149	    34.330
 4704:	  0.001165	    36.610
 4710:	  0.001413	    34.464
 4716:	  0.001198	    35.059
 4722:	  0.002220	    34.184
 4728:	  0.001263	    35.480
 4734:	  0.001405	    35.843
 4740:	  0.001870	    35.747
 4746:	  0.001440	    35.079
 4752:	  0.001197	    36.435
 4758:	  0.001961	    35.817
 4764:	  0.001242	    35.025
 4770:	  0.001192	    36.467
 4776:	  0.002542	    37.955
 4782:	  0.001414	    37.362
 4788:	  0.001261	    36.390
 4794:	  0.001237	    36.339
 4800:	  0.001250	    36.342
 4806:	  0.001196	    35.882
 4812:	  0.001182	    35.359
 4818:	  0.001251	    36.445
 4824:	  0.001978	    36.598
 4830:	  0.001299	    38.912
 4836:	  0.001968	    53.069
 4842:	  0.001232	    56.724
 4848:	  0.001324	    57.613
 4854:	  0.001217	    55.910
 4860:	  0.001438	    57.722
 4866:	  0.001211	    60.463
 4872:	  0.001255	    59.740
 4878:	  0.001226	    59.172
 4884:	  0.001384	    59.067
 4890:	  0.001251	    57.221
 4896:	  0.001805	    59.915
 4902:	  0.002077	    74.756
 4908:	  0.001318	    79.178
 4914:	  0.001402	    75.214
 4920:	  0.001248	    82.491
 4926:	  0.002027	    85.156
 4932:	  0.001957	    83.121
 4938:	  0.001839	    88.692
 4944:	  0.001610	   104.966
 4950:	  0.001218	    85.918
 4956:	  0.001278	    87.355
 4962:	  0.001821	   129.552
 4968:	  0.001257	   124.806
 4974:	  0.001257	   148.915
 4980:	  0.001856	   151.373
 4986:	  0.001238	   176.772
 4992:	  0.001541	   172.674
 4998:	  0.001275	   178.299
 5004:	  0.002058	   234.694
 5010:	  0.002978	   369.056
 5016:	  0.002142	   416.722
 5022:	  0.001229	   541.911
 5028:	  0.001288	   462.733
 5034:	  0.001513	    15.930
 5040:	  0.001276	    22.776
 5046:	  0.001943	    20.548
 5052:	  0.002852	    31.650
 5058:	  0.001874	    30.967
 5064:	  0.001174	    34.706
 5070:	  0.002032	    36.109
 5076:	  0.001338	    32.900
 5082:	  0.001204	    39.871
 5088:	  0.001594	    38.793
 5094:	  0.001264	    39.125
 5100:	  0.001274	    38.055
 5106:	  0.001283	    37.753
 5112:	  0.001299	    37.665
 5118:	  0.001345	    38.292
 5124:	  0.001224	    38.908
 5130:	  0.002449	    38.427
 5136:	  0.001929	    37.236
 5142:	  0.001239	    38.431
 5148:	  0.001243	    38.572
 5154:	  0.001341	    38.545
 5160:	  0.001401	    37.645
 5166:	  0.001455	    38.181
 5172:	  0.001336	    37.562
 5178:	  0.002384	    40.302
 5184:	  0.001322	    40.493
 5190:	  0.001993	    40.460
 5196:	  0.002523	    39.796
 5202:	  0.002818	    38.968
 5208:	  0.001853	    38.258
 5214:	  0.001340	    37.983
 5220:	  0.001247	    39.693
 5226:	  0.002144	    38.809
 5232:	  0.001943	    39.392
 5238:	  0.002178	    39.021
 5244:	  0.001238	    40.167
 5250:	  0.001250	    46.402
 5256:	  0.001339	    56.229
 5262:	  0.001246	    61.028
